model,task,imgsz,weights,precision,recall,f1,map50,map50_95,fitness,inference_ms_per_image
YOLO26n-HBB-640,hbb,640,runs/dota_experiment_v1/baseline_hbb_yolo26n_e20/weights/best.pt,0.4505121237645585,0.2827004054896257,0.3474025742461938,0.2574042379255404,0.145275434833292,0.145275434833292,3.0305649039848728
YOLO26n-OBB-1024,obb,1024,runs/dota_experiment_v1/tuned_obb_yolo26n_e20_img1024/weights/best.pt,0.573660457511712,0.2897676859035822,0.3850424949319867,0.2740454723281699,0.1861386872337279,0.1861386872337279,7.603911428275157
YOLO26n-OBB-640,obb,640,runs/dota_experiment_v1/main_obb_yolo26n_e20_img640/weights/best.pt,0.2559232903990675,0.2987837183855775,0.2756976606242659,0.2390131062305257,0.1463826870858038,0.1463826870858038,5.272849786038302
