method,effect,ci_lower,ci_upper,n_objects,n_images,treatment_prevalence,outcome_treated,outcome_control,propensity_overlap_0_1_0_9
Difference brute,-0.20661542154836826,-0.5202294198902813,0.05229196373849845,1646,53,0.3784933171324423,0.30658105939004815,0.5131964809384164,0.7654921020656136
G-computation,-0.1701789811250427,-0.2599142896465069,-0.09639925959300545,1646,53,0.3784933171324423,0.30658105939004815,0.5131964809384164,0.7654921020656136
IPW,-0.6202805829162042,-0.859932846248922,-0.35193930557503234,1646,53,0.3784933171324423,0.30658105939004815,0.5131964809384164,0.7654921020656136
AIPW doublement robuste,-0.36780362964224167,-0.5298267622218966,-0.16639945904837428,1646,53,0.3784933171324423,0.30658105939004815,0.5131964809384164,0.7654921020656136
