specification,effect,ci_lower,ci_upper,treatment_prevalence,outcome_treated,outcome_control
IoU >= 0.40,-0.37366509067575815,-0.5180054988707081,-0.19000708832572916,0.3784933171324423,0.32102728731942215,0.530791788856305
IoU >= 0.50,-0.36780362964224167,-0.5186745180826429,-0.1829319909235698,0.3784933171324423,0.30658105939004815,0.5131964809384164
IoU >= 0.60,-0.33173830009685734,-0.4795654616840275,-0.14063963250839648,0.3784933171324423,0.27768860353130015,0.48191593352883677
Propension clip 0.02,-0.27445268002904644,-0.5072728896900184,0.08546934298341341,0.3784933171324423,0.30658105939004815,0.5131964809384164
Propension clip 0.10,-0.38803959121928316,-0.5043279800968216,-0.24636039576806767,0.3784933171324423,0.30658105939004815,0.5131964809384164
Graine nuisances 7,-0.37044737020680485,-0.5345674685010309,-0.15455135223888922,0.3784933171324423,0.30658105939004815,0.5131964809384164
Graine nuisances 99,-0.36590318903408175,-0.521580777923229,-0.17682833393749645,0.3784933171324423,0.30658105939004815,0.5131964809384164
